#  x座標 　y座標  波動関数密度 という順で出力してます
     0.74194     0.54839     5.21495
     0.74194     0.58065     4.56100
     0.74194     0.61290     3.72352
     0.74194     0.64516     2.83575
     0.74194     0.67742     2.01256
     0.74194     0.70968     1.32864
     0.74194     0.74194     0.81330
     0.74194     0.77419     0.45897
     0.74194     0.80645     0.23629
     0.74194     0.83871     0.10873
     0.74194     0.87097     0.04285
     0.74194     0.90323     0.01305
     0.74194     0.93548     0.00223
     0.74194     0.96774     0.00002
 
     0.77419     0.03226     0.00000
     0.77419     0.06452     0.00008
     0.77419     0.09677     0.00465
     0.77419     0.12903     0.02238
     0.77419     0.16129     0.06576
     0.77419     0.19355     0.15346
     0.77419     0.22581     0.31000
     0.77419     0.25806     0.56251
     0.77419     0.29032     0.93360
     0.77419     0.32258     1.43073
     0.77419     0.35484     2.03480
     0.77419     0.38710     2.69310
     0.77419     0.41935     3.32211
     0.77419     0.45161     3.82289
     0.77419     0.48387     4.10580
     0.77419     0.51613     4.11652
     0.77419     0.54839     3.85290
     0.77419     0.58065     3.36567
     0.77419     0.61290     2.74263
     0.77419     0.64516     2.08299
     0.77419     0.67742     1.47220
     0.77419     0.70968     0.96562
     0.77419     0.74194     0.58480
     0.77419     0.77419     0.32394
     0.77419     0.80645     0.16118
     0.77419     0.83871     0.06943
     0.77419     0.87097     0.02375
     0.77419     0.90323     0.00497
     0.77419     0.93548     0.00009
     0.77419     0.96774     0.00000
 
     0.80645     0.03226     0.00000
     0.80645     0.06452     0.00000
     0.80645     0.09677     0.00015
     0.80645     0.12903     0.00761
     0.80645     0.16129     0.03307
     0.80645     0.19355     0.08918
     0.80645     0.22581     0.19237
     0.80645     0.25806     0.36063
     0.80645     0.29032     0.60895
     0.80645     0.32258     0.94235
     0.80645     0.35484     1.34814
     0.80645     0.38710     1.79070
     0.80645     0.41935     2.21359
     0.80645     0.45161     2.55001
     0.80645     0.48387     2.73966
     0.80645     0.51613     2.74608
     0.80645     0.54839     2.56797
     0.80645     0.58065     2.23960
     0.80645     0.61290     1.82021
     0.80645     0.64516     1.37673
     0.80645     0.67742     0.96680
     0.80645     0.70968     0.62763
     0.80645     0.74194     0.37340
     0.80645     0.77419     0.20009
     0.80645     0.80645     0.09319
     0.80645     0.83871     0.03472
     0.80645     0.87097     0.00802
     0.80645     0.90323     0.00016
     0.80645     0.93548     0.00000
